accountNumber,accountBalance,housingLoan,vehicleLoan,branchCity
12238,866,no,no,San Fransisco
12239,573,no,no,Los Angeles
12240,607,no,no,Jersey
12241,-1613,yes,no,San Antonio
12242,2657,yes,no,Dallas
12243,1237,yes,no,Santa Clara
12244,0,no,no,Rosselle
12245,17339,no,no,Pittsburgh
12246,4846,no,no,Pennsylvania
12247,112,no,no,Newcastle
12248,4145,no,no,New York
12249,1661,yes,no,San Jose
12250,-27,no,no,Houston
12251,-122,yes,no,San Fransisco
12252,490,yes,no,Los Angeles
12253,4659,yes,no,Jersey
12254,-350,yes,no,San Antonio
12255,-580,yes,no,Dallas
12256,0,no,no,Santa Clara
12257,1363,no,no,Rosselle
12258,77,yes,no,Pittsburgh
12259,1420,no,no,Pennsylvania
12260,2716,no,no,Newcastle
12261,149,yes,no,New York
12262,1400,no,no,San Jose
12263,940,no,no,Houston
12264,-1036,yes,yes,San Fransisco
12265,1,yes,no,Los Angeles
12266,360,yes,no,Jersey
12267,350,yes,no,San Antonio
12268,20,no,yes,Dallas
12269,5804,no,no,Santa Clara
12270,341,no,no,Rosselle
12271,56,no,no,Pittsburgh
12272,1046,yes,no,Pennsylvania
12273,107,no,no,Newcastle
12274,2288,no,no,New York
12275,1318,no,yes,San Jose
12276,1343,yes,no,Houston
12277,52,yes,no,San Fransisco
12278,1197,yes,no,Los Angeles
12279,0,no,no,Jersey
12280,3815,no,no,San Antonio
12281,8652,yes,no,Dallas
12282,21522,no,no,Santa Clara
12283,0,no,no,Rosselle
12284,214,yes,yes,Pittsburgh
12285,711,no,no,Pennsylvania
12286,57,no,yes,Newcastle
12287,-91,no,no,New York
12288,-253,no,no,San Jose
12289,25,no,yes,Houston
12290,-94,no,yes,San Fransisco
12291,2592,yes,no,Los Angeles
12292,1,no,yes,Jersey
12293,-468,no,yes,San Antonio
12294,37,no,no,Dallas
12295,-1136,no,yes,Santa Clara
12296,1,no,no,Rosselle
12297,80,no,yes,Pittsburgh
12298,-266,no,yes,Pennsylvania
12299,0,yes,yes,Newcastle
12300,-835,yes,yes,New York
12301,129,no,no,San Jose
12302,314,no,no,Houston
12303,-15,no,no,San Fransisco
12304,594,yes,yes,Los Angeles
12305,0,no,yes,Jersey
12306,3242,no,no,San Antonio
12307,0,yes,no,Dallas
12308,433,yes,no,Santa Clara
12309,720,no,no,Rosselle
12310,-140,no,no,Pittsburgh
12311,400,yes,yes,Pennsylvania
12312,381,no,no,Newcastle
12313,42,yes,no,New York
12314,0,no,yes,San Jose
12315,3759,no,no,Houston
12316,0,no,yes,San Fransisco
12317,0,no,yes,Los Angeles
12318,0,yes,yes,Jersey
12319,74,yes,no,San Antonio
12320,159,no,yes,Dallas
12321,335,yes,no,Santa Clara
12322,328,yes,yes,Rosselle
12323,1349,no,yes,Pittsburgh
12324,526,yes,yes,Pennsylvania
12325,-1,no,yes,Newcastle
12326,35,no,yes,New York
12327,341,yes,yes,San Jose
12328,702,yes,no,Houston
12329,-53,yes,yes,San Fransisco
12330,2279,no,yes,Los Angeles
12331,282,yes,no,Jersey
12332,-153,no,yes,San Antonio
12333,2103,no,yes,Dallas
12334,160,yes,yes,Santa Clara
12335,192,no,yes,Rosselle
12336,1881,no,yes,Pittsburgh
12337,8289,no,no,Pennsylvania
12338,157,no,no,Newcastle
12339,-295,yes,no,New York
12340,303,no,no,San Jose
12341,367,no,no,Houston
12342,196,yes,no,San Fransisco
12343,681,yes,no,Los Angeles
12344,0,no,yes,Jersey
12345,71,no,no,San Antonio
12346,-266,no,yes,Dallas
12347,43,no,yes,Santa Clara
12348,-7,no,yes,Rosselle
12349,130,no,no,Pittsburgh
12350,24,yes,no,Pennsylvania
12351,72,yes,no,Newcastle
12352,6207,yes,no,New York
12353,625,no,no,San Jose
12354,0,no,no,Houston
12355,4294,no,no,San Fransisco
12356,6100,yes,no,Los Angeles
12357,5299,yes,no,Jersey
12358,-413,no,yes,San Antonio
12359,187,no,yes,Dallas
12360,-241,no,yes,Santa Clara
12361,1160,yes,no,Rosselle
12362,-618,no,yes,Pittsburgh
12363,594,yes,no,Pennsylvania
12364,931,no,no,Newcastle
12365,1487,no,yes,New York
12366,291,yes,yes,San Jose
12367,-722,no,yes,Houston
12368,-418,no,yes,San Fransisco
12369,62,no,no,Los Angeles
12370,7,no,yes,Jersey
12371,0,no,yes,San Antonio
12372,1128,yes,yes,Dallas
12373,820,yes,no,Santa Clara
12374,544,yes,no,Rosselle
12375,85,no,no,Pittsburgh
12376,877,no,yes,Pennsylvania
12377,2,no,no,Newcastle
12378,65,no,no,New York
12379,373,yes,no,San Jose
12380,-238,no,no,Houston
12381,1131,yes,yes,San Fransisco
12382,0,no,yes,Los Angeles
12383,700,no,yes,Jersey
12384,382,no,no,San Antonio
12385,837,yes,no,Dallas
12386,255,yes,no,Santa Clara
12387,-1680,yes,yes,Rosselle
12388,4,yes,no,Pittsburgh
12389,4,yes,yes,Pennsylvania
12390,84,no,yes,Newcastle
12391,23,no,yes,New York
12392,95,no,yes,San Jose
12393,-423,yes,yes,Houston
12394,2019,yes,yes,San Fransisco
12395,11,no,no,Los Angeles
12396,144,no,yes,Jersey
12397,78,no,yes,San Antonio
12398,109,no,no,Dallas
12399,0,no,no,Santa Clara
12400,2430,yes,yes,Rosselle
12401,2970,no,yes,Pittsburgh
12402,11,yes,no,Pennsylvania
12403,-79,no,yes,Newcastle
12404,-478,yes,yes,New York
12405,283,yes,yes,San Jose
12406,89,yes,no,Houston
12407,653,yes,no,San Fransisco
12408,597,no,yes,Los Angeles
12409,59,yes,no,Jersey
12410,324,yes,no,San Antonio
12411,-868,yes,no,Dallas
12412,798,yes,no,Santa Clara
12413,-65,yes,no,Rosselle
12414,511,yes,no,Pittsburgh
12415,509,yes,no,Pennsylvania
12416,2239,yes,yes,Newcastle
12417,2169,yes,no,New York
12418,-72,yes,no,San Jose
12419,145,no,yes,Houston
12420,-101,yes,yes,San Fransisco
12421,1309,no,yes,Los Angeles
12422,12,no,no,Jersey
12423,3988,no,no,San Antonio
12424,-395,yes,no,Dallas
12425,1526,yes,no,Santa Clara
12426,323,no,no,Rosselle
12427,740,no,yes,Pittsburgh
12428,624,no,yes,Pennsylvania
12429,116,no,yes,Newcastle
12430,0,yes,no,New York
12431,230,no,yes,San Jose
12432,0,no,yes,Houston
12433,-342,no,yes,San Fransisco
12434,0,no,yes,Los Angeles
12435,276,no,no,Jersey
12436,0,no,no,San Antonio
12437,3082,yes,yes,Dallas
12438,220,yes,no,Santa Clara
12439,1128,yes,no,Rosselle
12440,0,no,yes,Pittsburgh
12441,-54,yes,yes,Pennsylvania
12442,2062,no,no,Newcastle
12443,66,no,yes,New York
12444,49,no,yes,San Jose
12445,138,yes,no,Houston
12446,365,no,no,San Fransisco
12447,10,no,no,Los Angeles
12448,75,yes,no,Jersey
12449,652,no,yes,San Antonio
12450,503,no,no,Dallas
12451,251,yes,yes,Santa Clara
12452,971,yes,yes,Rosselle
12453,-20,no,no,Pittsburgh
12454,-106,no,no,Pennsylvania
12455,871,yes,no,Newcastle
12456,9,no,yes,New York
12457,0,no,no,San Jose
12458,53,no,no,Houston
12459,3,no,yes,San Fransisco
12460,33,no,no,Los Angeles
12461,84,no,yes,Jersey
12462,13,no,yes,San Antonio
12463,1,no,no,Dallas
12464,-302,no,yes,Santa Clara
12465,0,no,no,Rosselle
12466,-90,no,yes,Pittsburgh
12467,6,no,yes,Pennsylvania
12468,358,no,no,Newcastle
12469,1357,no,yes,New York
12470,935,no,yes,San Jose
12471,145,no,yes,Houston
12472,0,yes,yes,San Fransisco
12473,0,no,no,Los Angeles
12474,935,no,no,Jersey
12475,49,yes,yes,San Antonio
12476,91,no,yes,Dallas
12477,-249,yes,yes,Santa Clara
12478,415,no,no,Rosselle
12479,7264,no,yes,Pittsburgh
12480,-585,yes,no,Pennsylvania
12481,43,no,no,Newcastle
12482,392,no,yes,New York
12483,975,no,no,San Jose
12484,205,no,no,Houston
12485,-27,no,yes,San Fransisco
12486,-70,no,yes,Los Angeles
12487,-147,no,yes,Jersey
12488,84,no,yes,San Antonio
12489,173,no,yes,Dallas
12490,2099,no,yes,Santa Clara
12491,374,no,yes,Rosselle
12492,0,no,no,Pittsburgh
12493,47,no,yes,Pennsylvania
12494,-180,no,yes,Newcastle
12495,27,no,no,New York
12496,158,no,no,San Jose
12497,394,no,yes,Houston
12498,280,yes,no,San Fransisco
12499,1717,no,yes,Los Angeles
12500,-28,no,yes,Jersey
12501,907,no,yes,San Antonio
12502,101,no,no,Dallas
12503,824,yes,no,Santa Clara
12504,28,no,yes,Rosselle
12505,0,yes,yes,Pittsburgh
12506,0,no,yes,Pennsylvania
12507,52,no,yes,Newcastle
12508,-584,yes,yes,New York
12509,-15,no,yes,San Jose
12510,527,no,yes,Houston
12511,0,yes,no,San Fransisco
12512,0,no,yes,Los Angeles
12513,70,no,yes,Jersey
12514,830,no,no,San Antonio
12515,-51,no,no,Dallas
12516,1,no,yes,Santa Clara
12517,0,no,yes,Rosselle
12518,-255,no,yes,Pittsburgh
12519,-81,no,yes,Pennsylvania
12520,288,yes,yes,Newcastle
12521,-25,no,yes,New York
12522,585,no,no,San Jose
12523,29,no,no,Houston
12524,606,yes,yes,San Fransisco
12525,-165,no,yes,Los Angeles
12526,549,no,no,Jersey
12527,-705,no,yes,San Antonio
12528,0,no,yes,Dallas
12529,166,no,yes,Santa Clara
12530,5,no,no,Rosselle
12531,0,no,yes,Pittsburgh
12532,2,no,yes,Pennsylvania
12533,92,no,no,Newcastle
12534,145,no,no,New York
12535,84,no,yes,San Jose
12536,701,no,yes,Houston
12537,3,no,yes,San Fransisco
12538,85,no,no,Los Angeles
12539,285,no,yes,Jersey
12540,474,yes,yes,San Antonio
12541,126,no,no,Dallas
12542,-400,yes,yes,Santa Clara
12543,91,no,yes,Rosselle
12544,0,no,yes,Pittsburgh
12545,0,no,no,Pennsylvania
12546,46,yes,yes,Newcastle
12547,51,no,no,New York
12548,20,no,no,San Jose
12549,-346,yes,no,Houston
12550,1659,yes,no,San Fransisco
12551,0,no,yes,Los Angeles
12552,31,no,yes,Jersey
12553,-221,no,yes,San Antonio
12554,303,yes,yes,Dallas
12555,304,no,yes,Santa Clara
12556,1155,no,yes,Rosselle
12557,222,yes,yes,Pittsburgh
12558,1038,no,yes,Pennsylvania
12559,695,no,no,Newcastle
12560,-800,no,no,New York
12561,47,no,yes,San Jose
12562,2,no,no,Houston
12563,313,no,yes,San Fransisco
12564,184,yes,no,Los Angeles
12565,114,no,yes,Jersey
12566,140,no,yes,San Antonio
12567,-187,no,no,Dallas
12568,-244,no,no,Santa Clara
12569,1807,no,yes,Rosselle
12570,241,no,yes,Pittsburgh
12571,60,no,no,Pennsylvania
12572,-149,no,yes,Newcastle
12573,-313,yes,no,New York
12574,0,no,yes,San Jose
12575,93,no,no,Houston
12576,42,no,yes,San Fransisco
12577,-179,no,no,Los Angeles
12578,1156,no,yes,Jersey
12579,277,no,yes,San Antonio
12580,-488,no,yes,Dallas
12581,938,no,yes,Santa Clara
12582,253,no,yes,Rosselle
12583,506,yes,yes,Pittsburgh
12584,0,no,no,Pennsylvania
12585,-435,no,no,Newcastle
12586,0,no,yes,New York
12587,-130,yes,yes,San Jose
12588,978,no,no,Houston
12589,0,no,no,San Fransisco
12590,88,yes,yes,Los Angeles
12591,94,no,no,Jersey
12592,1080,no,yes,San Antonio
12593,365,no,no,Dallas
12594,321,yes,yes,Santa Clara
12595,-19,no,yes,Rosselle
12596,144,yes,no,Pittsburgh
12597,192,no,no,Pennsylvania
12598,0,no,no,Newcastle
12599,656,no,yes,New York
12600,223,no,no,San Jose
12601,-37,no,no,Houston
12602,128,no,no,San Fransisco
12603,173,no,no,Los Angeles
12604,75,yes,no,Jersey
12605,-36,yes,yes,San Antonio
12606,115,no,yes,Dallas
12607,1156,yes,no,Santa Clara
12608,335,yes,yes,Rosselle
12609,-59,no,yes,Pittsburgh
12610,644,no,no,Pennsylvania
12611,655,no,yes,Newcastle
12612,-322,no,yes,New York
12613,487,no,yes,San Jose
12614,-401,yes,yes,Houston
12615,2637,no,no,San Fransisco
12616,33,no,no,Los Angeles
12617,0,no,yes,Jersey
12618,5956,yes,yes,San Antonio
12619,59,yes,yes,Dallas
12620,-346,yes,no,Santa Clara
12621,115,yes,no,Rosselle
12622,243,no,yes,Pittsburgh
12623,153,no,no,Pennsylvania
12624,0,no,no,Newcastle
12625,1143,yes,yes,New York
12626,46,no,no,San Jose
12627,0,no,yes,Houston
12628,1265,no,yes,San Fransisco
12629,-110,no,yes,Los Angeles
12630,-28,no,yes,Jersey
12631,13,yes,no,San Antonio
12632,-102,no,no,Dallas
12633,6618,yes,no,Santa Clara
12634,34,no,yes,Rosselle
12635,183,no,yes,Pittsburgh
12636,1210,no,no,Pennsylvania
12637,-333,no,yes,Newcastle
12638,678,no,yes,New York
12639,1347,no,yes,San Jose
12640,2802,no,yes,Houston
12641,-27,no,no,San Fransisco
12642,156,no,yes,Los Angeles
12643,218,no,no,Jersey
12644,934,yes,no,San Antonio
12645,184,yes,yes,Dallas
12646,36,no,yes,Santa Clara
12647,328,no,no,Rosselle
12648,453,no,yes,Pittsburgh
12649,8,no,yes,Pennsylvania
12650,60,no,yes,Newcastle
12651,339,no,no,New York
12652,134,no,yes,San Jose
12653,1697,yes,no,Houston
12654,19,no,yes,San Fransisco
12655,207,no,yes,Los Angeles
12656,177,no,yes,Jersey
12657,-492,no,yes,San Antonio
12658,35,no,no,Dallas
12659,466,no,no,Santa Clara
12660,105,no,yes,Rosselle
12661,19,no,no,Pittsburgh
12662,126,yes,yes,Pennsylvania
12663,-127,yes,no,Newcastle
12664,1329,yes,yes,New York
12665,343,no,no,San Jose
12666,192,no,no,Houston
12667,43,no,yes,San Fransisco
12668,-272,no,yes,Los Angeles
12669,4805,no,yes,Jersey
12670,1146,no,no,San Antonio
12671,380,yes,yes,Dallas
12672,1355,no,no,Santa Clara
12673,215,no,yes,Rosselle
12674,187,no,yes,Pittsburgh
12675,0,no,no,Pennsylvania
12676,555,no,yes,Newcastle
12677,295,yes,yes,New York
12678,-116,no,yes,San Jose
12679,4385,no,yes,Houston
12680,137,no,no,San Fransisco
12681,296,no,no,Los Angeles
12682,534,no,no,Jersey
12683,93,no,no,San Antonio
12684,-27,yes,yes,Dallas
12685,-157,yes,no,Santa Clara
12686,49,yes,no,Rosselle
12687,216,no,no,Pittsburgh
12688,1421,yes,no,Pennsylvania
12689,222,yes,yes,Newcastle
12690,1728,no,no,New York
12691,5253,yes,yes,San Jose
12692,47,yes,no,Houston
12693,2648,no,no,San Fransisco
12694,0,no,no,Los Angeles
12695,-182,yes,no,Jersey
12696,-313,no,yes,San Antonio
12697,465,yes,no,Dallas
12698,25,yes,yes,Santa Clara
12699,147,no,no,Rosselle
12700,551,no,yes,Pittsburgh
12701,58,no,yes,Pennsylvania
12702,650,yes,no,Newcastle
12703,1618,yes,no,New York
12704,-63,yes,no,San Jose
12705,4850,no,no,Houston
12706,409,yes,no,San Fransisco
12707,0,yes,no,Los Angeles
12708,1007,yes,no,Jersey
12709,312,yes,no,San Antonio
12710,820,yes,no,Dallas
12711,3369,no,no,Santa Clara
12712,841,yes,no,Rosselle
12713,-1336,no,yes,Pittsburgh
12714,634,no,no,Pennsylvania
12715,0,no,no,Newcastle
12716,9301,yes,no,New York
12717,486,no,no,San Jose
12718,34,no,yes,Houston
12719,506,yes,no,San Fransisco
12720,1444,yes,no,Los Angeles
12721,0,yes,no,Jersey
12722,923,yes,no,San Antonio
12723,-44,yes,no,Dallas
12724,413,no,no,Santa Clara
12725,3531,yes,no,Rosselle
12726,243,yes,no,Pittsburgh
12727,484,yes,no,Pennsylvania
12728,213,yes,no,Newcastle
12729,170,no,no,New York
12730,-236,yes,no,San Jose
12731,1613,yes,no,Houston
12732,555,no,no,San Fransisco
12733,1914,yes,no,Los Angeles
12734,2220,no,no,Jersey
12735,450,yes,no,San Antonio
12736,553,yes,no,Dallas
12737,92,yes,no,Santa Clara
12738,0,no,no,Rosselle
12739,1805,no,no,Pittsburgh
12740,1523,no,yes,Pennsylvania
12741,3407,no,no,Newcastle
12742,254,yes,no,New York
12743,11,no,no,San Jose
12744,1609,yes,no,Houston
12745,1447,yes,yes,San Fransisco
12746,27,no,no,Los Angeles
12747,125,no,no,Jersey
12748,0,no,no,San Antonio
12749,1797,no,no,Dallas
12750,2,no,yes,Santa Clara
12751,2911,no,no,Rosselle
12752,1395,yes,yes,Pittsburgh
12753,522,no,yes,Pennsylvania
12754,776,no,yes,Newcastle
12755,0,no,no,New York
12756,879,no,no,San Jose
12757,266,no,yes,Houston
12758,29,no,no,San Fransisco
12759,1633,no,no,Los Angeles
12760,12245,no,no,Jersey
12761,666,yes,no,San Antonio
12762,-134,yes,yes,Dallas
12763,0,yes,no,Santa Clara
12764,1247,no,no,Rosselle
12765,926,no,no,Pittsburgh
12766,-796,no,no,Pennsylvania
12767,493,no,no,Newcastle
12768,343,yes,yes,New York
12769,268,no,no,San Jose
12770,92,no,yes,Houston
12771,0,no,no,San Fransisco
12772,6573,yes,no,Los Angeles
12773,182,yes,yes,Jersey
12774,1143,no,no,San Antonio
12775,4044,no,no,Dallas
12776,77,no,yes,Santa Clara
12777,1327,no,no,Rosselle
12778,488,no,yes,Pittsburgh
12779,0,no,no,Pennsylvania
12780,23,no,no,Newcastle
12781,808,no,no,New York
12782,-236,yes,yes,San Jose
12783,-274,no,no,Houston
12784,12,no,no,San Fransisco
12785,-1,no,no,Los Angeles
12786,505,no,yes,Jersey
12787,88,no,yes,San Antonio
12788,777,no,no,Dallas
12789,0,no,no,Santa Clara
12790,366,yes,yes,Rosselle
12791,460,no,yes,Pittsburgh
12792,3427,no,no,Pennsylvania
12793,332,no,no,Newcastle
12794,967,no,no,New York
12795,21,no,no,San Jose
12796,2559,no,no,Houston
12797,1604,no,yes,San Fransisco
12798,-2,no,yes,Los Angeles
12799,0,no,no,Jersey
12800,505,yes,no,San Antonio
12801,0,no,yes,Dallas
12802,2110,no,yes,Santa Clara
12803,0,yes,no,Rosselle
12804,1,no,yes,Pittsburgh
12805,0,no,yes,Pennsylvania
12806,57,no,yes,Newcastle
12807,398,no,no,New York
12808,-1139,yes,no,San Jose
12809,537,no,yes,Houston
12810,351,no,yes,San Fransisco
12811,0,no,no,Los Angeles
12812,-57,no,yes,Jersey
12813,3068,no,no,San Antonio
12814,2319,no,no,Dallas
12815,437,no,yes,Santa Clara
12816,879,no,yes,Rosselle
12817,232,no,no,Pittsburgh
12818,-117,no,yes,Pennsylvania
12819,3003,yes,no,Newcastle
12820,0,no,yes,New York
12821,-167,no,no,San Jose
12822,909,no,yes,Houston
12823,428,no,yes,San Fransisco
12824,54,yes,yes,Los Angeles
12825,-176,no,yes,Jersey
12826,564,no,yes,San Antonio
12827,221,no,yes,Dallas
12828,35,yes,no,Santa Clara
12829,8,no,yes,Rosselle
12830,149,no,yes,Pittsburgh
12831,475,no,no,Pennsylvania
12832,29,no,no,Newcastle
12833,977,no,no,New York
12834,161,no,yes,San Jose
12835,492,no,yes,Houston
12836,0,no,no,San Fransisco
12837,40,yes,yes,Los Angeles
12838,13718,no,no,Jersey
12839,205,yes,yes,San Antonio
12840,123,no,yes,Dallas
12841,0,no,yes,Santa Clara
12842,0,no,no,Rosselle
12843,2146,no,no,Pittsburgh
12844,63,no,yes,Pennsylvania
12845,-428,no,no,Newcastle
12846,0,no,no,New York
12847,-1014,no,yes,San Jose
12848,-228,yes,no,Houston
12849,-42,no,no,San Fransisco
12850,218,no,yes,Los Angeles
12851,282,no,yes,Jersey
12852,123,no,yes,San Antonio
12853,14,no,yes,Dallas
12854,247,no,yes,Santa Clara
12855,-6,no,yes,Rosselle
12856,216,no,no,Pittsburgh
12857,-28,no,no,Pennsylvania
12858,326,yes,yes,Newcastle
12859,119,no,no,New York
12860,69,no,no,San Jose
12861,707,no,no,Houston
12862,-227,no,yes,San Fransisco
12863,1085,yes,yes,Los Angeles
12864,368,no,yes,Jersey
12865,25,no,yes,San Antonio
12866,-132,yes,yes,Dallas
12867,1265,no,yes,Santa Clara
12868,700,no,yes,Rosselle
12869,82,no,yes,Pittsburgh
12870,1529,no,no,Pennsylvania
12871,623,yes,no,Newcastle
12872,-241,yes,yes,New York
12873,278,yes,yes,San Jose
12874,1834,yes,no,Houston
12875,-398,no,yes,San Fransisco
12876,0,no,no,Los Angeles
12877,-597,no,no,Jersey
12878,16,no,no,San Antonio
12879,10,no,yes,Dallas
12880,-79,no,yes,Santa Clara
12881,338,no,yes,Rosselle
12882,-50,no,yes,Pittsburgh
12883,-239,yes,yes,Pennsylvania
12884,333,no,no,Newcastle
12885,867,yes,no,New York
12886,-37,no,yes,San Jose
12887,0,yes,no,Houston
12888,1392,no,no,San Fransisco
12889,-196,no,no,Los Angeles
12890,0,yes,yes,Jersey
12891,269,no,yes,San Antonio
12892,913,yes,no,Dallas
12893,-267,no,yes,Santa Clara
12894,193,yes,yes,Rosselle
12895,78,yes,yes,Pittsburgh
12896,85,yes,yes,Pennsylvania
12897,111,no,yes,Newcastle
12898,226,no,no,New York
12899,-354,no,yes,San Jose
12900,212,no,no,Houston
12901,9444,no,no,San Fransisco
12902,14,no,no,Los Angeles
12903,468,no,no,Jersey
12904,-15,no,yes,San Antonio
12905,1530,no,no,Dallas
12906,1133,yes,no,Santa Clara
12907,680,no,no,Rosselle
12908,329,yes,yes,Pittsburgh
12909,473,yes,no,Pennsylvania
12910,-8019,no,yes,Newcastle
12911,226,no,no,New York
12912,383,yes,yes,San Jose
12913,1,no,yes,Houston
12914,27,no,yes,San Fransisco
12915,49,yes,no,Los Angeles
12916,1023,no,no,Jersey
12917,1507,no,no,San Antonio
12918,3969,no,no,Dallas
12919,198,no,no,Santa Clara
12920,0,no,yes,Rosselle
12921,55,no,no,Pittsburgh
12922,124,yes,no,Pennsylvania
12923,419,no,no,Newcastle
12924,-72,yes,no,New York
12925,0,no,no,San Jose
12926,3372,no,no,Houston
12927,58932,no,no,San Fransisco
12928,-354,yes,yes,Los Angeles
12929,-513,no,yes,Jersey
12930,916,no,no,San Antonio
12931,402,no,yes,Dallas
12932,22,no,no,Santa Clara
12933,433,no,no,Rosselle
12934,1326,no,yes,Pittsburgh
12935,147,yes,no,Pennsylvania
12936,76,yes,no,Newcastle
12937,1598,yes,no,New York
12938,497,no,yes,San Jose
12939,145,no,yes,Houston
12940,0,no,no,San Fransisco
12941,383,no,yes,Los Angeles
12942,1361,no,yes,Jersey
12943,-1270,no,yes,San Antonio
12944,-305,yes,yes,Dallas
12945,2284,yes,yes,Santa Clara
12946,0,no,no,Rosselle
12947,-594,yes,yes,Pittsburgh
12948,18,no,no,Pennsylvania
12949,1717,no,no,Newcastle
12950,387,no,no,New York
12951,96,no,no,San Jose
12952,5038,no,no,Houston
12953,1581,no,yes,San Fransisco
12954,8,no,no,Los Angeles
12955,1152,no,no,Jersey
12956,101,yes,yes,San Antonio
12957,218,no,no,Dallas
12958,720,no,no,Santa Clara
12959,0,yes,no,Rosselle
12960,-213,no,yes,Pittsburgh
12961,300,yes,no,Pennsylvania
12962,-396,yes,no,Newcastle
12963,55,no,no,New York
12964,766,yes,no,San Jose
12965,9,no,no,Houston
12966,223,no,no,San Fransisco
12967,0,no,yes,Los Angeles
12968,853,no,no,Jersey
12969,1346,no,no,San Antonio
12970,122,no,no,Dallas
12971,52,no,yes,Santa Clara
12972,1659,no,yes,Rosselle
12973,126,no,yes,Pittsburgh
12974,143,yes,no,Pennsylvania
12975,1688,yes,no,Newcastle
12976,-108,no,yes,New York
12977,102,no,yes,San Jose
12978,203,yes,no,Houston
12979,252,no,no,San Fransisco
12980,-626,yes,no,Los Angeles
12981,6,no,yes,Jersey
12982,0,yes,yes,San Antonio
12983,76,no,yes,Dallas
12984,14,no,no,Santa Clara
12985,1117,yes,no,Rosselle
12986,1086,no,no,Pittsburgh
12987,-23,no,yes,Pennsylvania
12988,128,yes,no,Newcastle
12989,897,yes,no,New York
12990,-367,yes,yes,San Jose
12991,-228,yes,yes,Houston
12992,8,no,no,San Fransisco
12993,619,no,no,Los Angeles
12994,24,no,yes,Jersey
12995,42,no,no,San Antonio
12996,-40,no,yes,Dallas
12997,282,no,yes,Santa Clara
12998,267,no,no,Rosselle
12999,726,no,no,Pittsburgh
13000,50,no,no,Pennsylvania
13001,1926,no,no,Newcastle
13002,379,no,yes,New York
13003,4688,no,no,San Jose
13004,256,yes,no,Houston
13005,-805,no,no,San Fransisco
13006,-2,no,yes,Los Angeles
13007,473,yes,no,Jersey
13008,175,no,no,San Antonio
13009,-407,no,yes,Dallas
13010,148,no,yes,Santa Clara
13011,-24,no,no,Rosselle
13012,305,no,no,Pittsburgh
13013,2,no,yes,Pennsylvania
13014,-308,yes,no,Newcastle
13015,3,no,no,New York
13016,-55,yes,yes,San Jose
13017,52,no,yes,Houston
13018,1573,no,no,San Fransisco
13019,-395,yes,no,Los Angeles
13020,4140,no,no,Jersey
13021,495,no,no,San Antonio
13022,74,yes,no,Dallas
13023,92,no,yes,Santa Clara
13024,5,no,no,Rosselle
13025,568,no,no,Pittsburgh
13026,4314,no,no,Pennsylvania
13027,312,no,no,Newcastle
13028,24,no,no,New York
13029,54,no,yes,San Jose
13030,412,yes,yes,Houston
13031,-139,no,no,San Fransisco
13032,-306,no,yes,Los Angeles
13033,210,no,yes,Jersey
13034,551,no,yes,San Antonio
13035,31,no,yes,Dallas
13036,0,no,yes,Santa Clara
13037,184,no,no,Rosselle
13038,562,no,no,Pittsburgh
13039,2102,yes,no,Pennsylvania
13040,193,no,yes,Newcastle
13041,5,no,no,New York
13042,66,no,yes,San Jose
13043,-169,yes,yes,Houston
13044,2643,no,yes,San Fransisco
13045,12,no,no,Los Angeles
13046,75,no,yes,Jersey
13047,-257,no,no,San Antonio
13048,170,yes,no,Dallas
13049,-85,no,yes,Santa Clara
13050,979,no,yes,Rosselle
13051,136,no,yes,Pittsburgh
13052,-258,no,no,Pennsylvania
13053,99,no,no,Newcastle
13054,150,no,no,New York
13055,476,no,no,San Jose
13056,226,no,yes,Houston
13057,-378,no,yes,San Fransisco
13058,296,no,yes,Los Angeles
13059,1661,no,yes,Jersey
13060,122,no,yes,San Antonio
13061,-90,no,yes,Dallas
13062,1322,yes,yes,Santa Clara
13063,-272,no,no,Rosselle
13064,-133,yes,no,Pittsburgh
13065,2,yes,yes,Pennsylvania
13066,0,no,no,Newcastle
13067,-627,yes,yes,New York
13068,-468,no,no,San Jose
13069,0,no,yes,Houston
13070,1098,yes,yes,San Fransisco
13071,191,no,no,Los Angeles
13072,-605,yes,no,Jersey
13073,-400,no,yes,San Antonio
13074,68,no,yes,Dallas
13075,38,no,yes,Santa Clara
13076,291,no,yes,Rosselle
13077,2,no,no,Pittsburgh
13078,264,yes,yes,Pennsylvania
13079,1029,no,yes,Newcastle
13080,87,no,no,New York
13081,1457,yes,no,San Jose
13082,-220,no,no,Houston
13083,-97,yes,yes,San Fransisco
13084,0,no,yes,Los Angeles
13085,1274,no,no,Jersey
13086,128,no,no,San Antonio
13087,3,no,no,Dallas
13088,642,no,yes,Santa Clara
13089,137,no,no,Rosselle
13090,455,no,no,Pittsburgh
13091,-35,no,yes,Pennsylvania
13092,230,no,yes,Newcastle
13093,51,no,no,New York
13094,-54,no,yes,San Jose
13095,7,no,yes,Houston
13096,12389,no,yes,San Fransisco
13097,2,no,no,Los Angeles
13098,22,no,yes,Jersey
13099,-197,no,yes,San Antonio
13100,0,no,yes,Dallas
13101,144,no,yes,Santa Clara
13102,-480,yes,yes,Rosselle
13103,350,no,no,Pittsburgh
13104,175,no,yes,Pennsylvania
13105,551,no,no,Newcastle
13106,621,no,no,New York
